"Genotype" "predicted.value" "standard.error" "est.status"
"160" "F1F003M008" 0.30508060685062 0.0660585186058736 "Estimable"
"161" "F1F003M009" 0.296699166201894 0.0660498734646328 "Estimable"
"162" "F1F003M012" 0.299501626643334 0.0659969720855174 "Estimable"
"163" "F1F003M013" 0.217905688723515 0.0660745157537467 "Estimable"
"164" "F1F003M014" 0.253714695179305 0.066049581407564 "Estimable"
"165" "F1F003M015" 0.342432034324699 0.0660522475491699 "Estimable"
"166" "F1F004M001" 0.366440685857022 0.0541199942580365 "Estimable"
"167" "F1F004M002" 0.428276259122577 0.0541188054349976 "Estimable"
"168" "F1F004M003" 0.411383460547857 0.0541343183369358 "Estimable"
"169" "F1F004M004" 0.355371812533059 0.0541324930934673 "Estimable"
"170" "F1F004M005" 0.333891084260559 0.0541334597042727 "Estimable"
"171" "F1F004M006" 0.430293312038864 0.0541198885664373 "Estimable"
"172" "F1F004M007" 0.514931097276599 0.0541413819714547 "Estimable"
"173" "F1F004M008" 0.318649028450412 0.0541318990737408 "Estimable"
"174" "F1F004M009" 0.332475265663739 0.0541193406875347 "Estimable"
"175" "F1F004M010" 0.551764683693464 0.05413207179069 "Estimable"
"176" "F1F004M012" 0.397039920273635 0.0541301535157952 "Estimable"
"177" "F1F004M013" 0.472985598691639 0.0541264837572541 "Estimable"
"178" "F1F004M014" 0.512808445458254 0.0541267838048506 "Estimable"
"179" "F1F004M015" 0.334275713283735 0.0541380871111455 "Estimable"
"180" "F1F005M001" 0.339307571107013 0.0541285434473331 "Estimable"
"181" "F1F005M002" 0.478694382359367 0.0541301649389087 "Estimable"
"182" "F1F005M003" 0.43227702123415 0.0541245953436669 "Estimable"
"183" "F1F005M004" 0.33707616529635 0.0541256554818572 "Estimable"
"184" "F1F005M005" 0.375074560851954 0.0541262744599313 "Estimable"
"185" "F1F005M006" 0.494196485824526 0.0541135867511467 "Estimable"
"186" "F1F005M007" 0.470715176561037 0.054134237598051 "Estimable"
"187" "F1F005M008" 0.257329291022823 0.0541260329951679 "Estimable"
"188" "F1F005M009" 0.361287895457657 0.0541321329800816 "Estimable"
"189" "F1F005M010" 0.536585534274431 0.0541257676042841 "Estimable"
"190" "F1F005M011" 0.430059366791204 0.0541193971842592 "Estimable"
